step,update,episodes,avg_reward,avg_len,win_rate,draw_rate,policy_loss,value_loss,entropy,clip_frac,approx_kl,rollout_sec,update_sec
4096,2,137,33.01471083333334,30.03,0.45985401459854014,0.0072992700729927005,-0.002147166000213474,2817.8750335693358,0.8410642392933368,0.0078125,0.004552627186058089,3.240356922149658,0.3757948875427246
8192,4,261,49.79177416666666,31.96,0.49808429118773945,0.01532567049808429,-0.002869220683351159,2599.7750396728516,0.851119726151228,0.0123046875,0.002441417366208043,3.2782468795776367,0.36386990547180176
12288,6,389,29.948038333333333,31.43,0.480719794344473,0.015424164524421594,-0.0007596925657708198,2490.3758071899415,0.8402387775480747,0.000732421875,0.0015487531811231748,3.2007970809936523,0.35645508766174316
16384,8,529,44.64878027777779,28.92,0.502835538752363,0.013232514177693762,-0.0014966552902478726,2865.0537139892576,0.8590029641985893,0.00302734375,0.0034575360288727095,3.257930278778076,0.35797882080078125
20480,10,670,37.665369166666665,29.02,0.48955223880597015,0.014925373134328358,-0.0009909394080750643,2693.2963165283204,0.831325764209032,0.002294921875,0.0020174992765532806,3.2189669609069824,0.3602898120880127
24576,12,800,17.527828611111115,30.42,0.47875,0.0175,-0.0016656150226481258,2523.0098083496096,0.8426931500434875,0.0,0.0018327136334846728,3.2143900394439697,0.357374906539917
28672,14,936,42.73736722222222,29.04,0.4797008547008547,0.017094017094017096,-0.004359949356876313,2968.6526306152346,0.8572239346802235,0.0296875,0.004990490878117271,3.1691489219665527,0.39370012283325195
32768,16,1079,19.63275694444445,28.31,0.4726598702502317,0.016682113067655237,-0.004475729755358771,2758.0937072753904,0.8460597932338715,0.0373046875,0.004443749276106246,3.1793038845062256,0.3625311851501465
36864,18,1214,46.94706027777777,30.57,0.4794069192751236,0.015650741350906095,-0.0010948773240670561,2781.531817626953,0.8478923611342907,0.0017578125,0.0024032261128013486,3.1935369968414307,0.35524606704711914
40960,20,1356,31.09336500000001,27.82,0.4778761061946903,0.014749262536873156,-0.0019166425976436586,2828.865374755859,0.8104115545749664,0.0158203125,0.003583475886262022,3.2184112071990967,0.35593128204345703
